student_id;first_name;last_name;gender;birth_date;major;enrollment_year;gpa;course_count;country
89;Katharyn;Cockshoot;Female;26.03.2000;Cognitive Game Design;2021;3.94;8;France
90;Had;Greenmon;Male;12.10.2006;Quantum Architecture;2016;3.1;9;Canada
91;Sasha;Hawken;Male;10.03.1998;Interstellar Communications;2018;3.17;10;Sweden
92;Elwira;Ludovici;Female;24.01.2003;Crypto Economics;2018;3.89;9;France
93;Darrin;Crass;Male;15.08.2001;Robotics and Human Interaction;2018;4.94;3;Poland
94;Ediva;Searles;Non-binary;05.02.2003;Automated Supply Chain Systems;2016;2.48;7;Canada
95;Sarina;Leschelle;Female;28.06.1997;Space Habitat Engineering;2023;2.08;6;Poland
96;Lolly;Vereker;Genderqueer;10.09.2000;Smart Grid Engineering;2022;3.87;7;Greece
97;Nata;Attenborough;Female;02.06.2004;Emotional AI Research;2020;4.53;3;Ukraine
98;Joel;Gallone;Male;02.03.1996;AI-Assisted Law;2019;3.33;6;Portugal
99;Anatollo;Ivanchov;Male;05.09.1997;Virtual Reality Therapy;2022;4.97;9;Slovenia
100;Fionnula;Dienes;Female;30.04.2001;Crypto Economics;2018;2.12;6;Portugal
101;Ronalda;Towsey;Female;01.10.1995;Behavioral Robotics;2020;2.7;3;Portugal
102;Mella;Ajean;Female;22.12.1996;Deep Learning in Medicine;2024;3.99;4;New Zealand
103;Gherardo;Vause;Male;19.07.2001;Biomedical Nanotechnology;2020;2.17;2;France
104;Ivett;Wylie;Female;01.03.2003;Synthetic Biology Design;2018;4.3;9;New Zealand
105;Kathlin;Rubberts;Female;02.09.2003;Sustainable Urban Planning;2016;4.25;7;Norway
106;Denys;Campos;Male;03.04.1996;Data-Driven Marketing;2023;2.85;7;Portugal
107;Quinn;Hatchett;Female;08.04.1999;Bioelectric Engineering;2016;3.37;3;Croatia
108;Juliet;Boman;Female;05.04.2002;Synthetic Biology Design;2016;3.32;6;Sweden
109;Paquito;Toward;Male;27.05.1996;Emotional AI Research;2023;3.15;5;Luxembourg
110;Vidovic;Kermode;Male;15.10.1997;Cognitive Game Design;2017;2.36;4;Czech Republic
111;Alessandra;Huyton;Female;19.11.1995;Geospatial Intelligence;2018;4.28;3;France
112;Thor;Colchett;Male;12.12.1996;Cybernetic Education Models;2021;4;8;Finland
113;Cymbre;Van Schafflaer;Female;16.02.2001;Precision Agriculture Technology;2016;2.51;5;Poland
114;Clayborn;Paoloni;Male;07.09.1998;Algorithmic Journalism;2021;4.47;7;Spain
115;Zebedee;Fike;Genderqueer;29.04.2005;Virtual Reality Therapy;2016;2.24;9;France
116;Godiva;Merrgan;Female;23.08.2003;Fintech Innovations;2021;3.84;7;Germany
117;Skipper;Catterall;Male;25.05.2002;Interstellar Communications;2016;3.53;4;Sweden
118;Mord;Malcher;Male;19.02.2001;Digital Twin Systems;2017;2.68;3;Ukraine
119;Lesley;Goodfellow;Female;14.07.1998;Cybernetic Education Models;2020;2.25;6;Portugal
120;Jedidiah;Monteith;Male;11.08.2000;Algorithmic Journalism;2017;3.06;7;Finland
121;Chrissie;Bodker;Female;27.10.2003;Neuroaesthetics;2022;3.33;10;Croatia
122;Ashly;Tudhope;Female;10.08.2003;Cognitive Game Design;2016;4.13;6;Poland
123;Alon;Surridge;Male;04.04.1998;Cybernetic Education Models;2021;2.37;2;France
124;Tatum;Dederick;Female;06.02.2001;Crypto Economics;2024;2.24;5;Sweden
125;Chryste;Wilflinger;Female;24.08.1999;Digital Twin Systems;2024;3.67;3;Sweden
126;Jonah;Grigolashvill;Male;27.05.2003;Digital Sociology;2020;2.06;4;Finland
127;Shell;Catonne;Male;05.04.1996;Precision Agriculture Technology;2020;3.17;1;France
128;Lauren;Ondrak;Male;22.03.2005;Deep Learning in Medicine;2019;3.52;8;Malta
129;Silvano;MacNelly;Male;14.01.1999;Environmental Neurobiology;2017;3.81;7;Portugal
130;Orella;Winks;Female;06.12.1997;Biomedical Nanotechnology;2017;4.12;4;Ukraine
131;Shaun;Etches;Female;21.09.2004;Data-Driven Marketing;2022;4.93;3;Ukraine
132;Suzi;Grevile;Female;02.03.2006;Cognitive Game Design;2017;3.35;1;Ukraine
133;Shaina;Esbrook;Female;30.09.2006;Post-Human Studies;2017;4.13;4;Croatia
134;Tod;Stannas;Male;29.11.1996;Space Tourism Management;2023;3.33;4;Portugal
135;Padget;Corkett;Male;15.09.2001;Environmental Neurobiology;2020;4.15;3;Sweden
136;Odo;Farrans;Male;16.04.2006;Precision Agriculture Technology;2023;2.98;2;Finland
137;Thorpe;Glazyer;Male;13.07.2006;Crypto Economics;2020;4.95;6;Poland
138;Erin;Fawks;Female;15.04.1995;Smart Grid Engineering;2024;2.08;6;Greece
139;Magdalene;Tredger;Female;07.05.2000;Cybernetic Education Models;2016;3.61;8;Ireland
140;Brigida;Brownsall;Female;06.06.1997;Crypto Economics;2023;2.78;3;Canada
141;Konrad;Lorroway;Male;24.06.1999;Space Tourism Management;2016;3.77;4;France
142;Carmelia;Standering;Female;04.10.2003;Biomedical Nanotechnology;2022;2.67;3;Poland
143;Gaelan;Le Blanc;Male;13.10.1998;Bioelectric Engineering;2019;3.58;2;Czech Republic
144;Aluin;Tyers;Male;13.05.2003;Creative Intelligence;2022;3.83;3;Greece
145;Demetrius;Gairdner;Male;13.04.2000;Holographic Media Design;2017;2.27;1;Poland
146;Odelinda;Derks;Female;11.11.2005;Deep Learning in Medicine;2022;4.36;8;Sweden
147;Silvester;Mattheissen;Male;22.11.2003;Behavioral Robotics;2022;3.37;9;Sweden
148;Otis;Bromet;Male;24.05.1996;Behavioral Robotics;2023;3.41;2;Greece
149;Madeleine;Sainte Paul;Female;15.07.1998;Emotional AI Research;2016;3.17;4;Sweden
150;Don;Vallens;Male;14.01.1997;Quantum Architecture;2024;4.15;1;Azerbaijan
151;Carin;Braywood;Female;05.10.2004;Space Habitat Engineering;2019;2.12;1;Poland
152;Ody;Paylor;Male;02.12.1997;Creative Intelligence;2024;3.08;10;Sweden
153;Jayme;Priver;Female;07.01.1995;Synthetic Biology Design;2024;4.81;3;France
154;Paula;Gofton;Female;23.11.2000;Crypto Economics;2020;3.55;1;Czech Republic
155;Mordy;Edmands;Male;12.03.1997;Holographic Media Design;2023;3.08;3;France
156;Mitch;Manvelle;Male;10.08.1998;Digital Twin Systems;2016;3.47;5;Canada
157;Giraud;Wooland;Male;16.05.1998;Emotional AI Research;2019;2.26;5;Finland
158;Guillaume;Aizik;Male;07.03.1997;Automated Supply Chain Systems;2019;2.55;10;Sweden
159;Dalenna;Eagar;Genderfluid;11.01.1996;AI-Powered Design;2021;4.4;10;Czech Republic
160;Laurent;Pickthorn;Male;17.02.1995;Post-Human Studies;2020;3.29;10;Sweden
161;Sadie;Vallery;Female;11.06.2001;Algorithmic Journalism;2021;2.56;5;Portugal
162;Tildy;Megson;Female;07.03.1999;Environmental Neurobiology;2023;2.41;6;Czech Republic
163;Nady;Hollows;Female;26.08.2004;Post-Human Studies;2019;2.13;8;France
164;Arthur;McCormack;Male;03.02.2006;Holographic Media Design;2024;2.93;5;Sweden
165;Michel;O'Lynn;Female;25.07.2005;Precision Agriculture Technology;2021;3.32;9;Ukraine
166;Gunter;Simmers;Male;11.02.2005;Sustainable Urban Planning;2019;2.21;9;Greece
167;Dorotea;Twitching;Female;13.06.2005;Behavioral Robotics;2019;2.25;1;France
168;Papageno;Hartshorne;Male;18.10.2004;Geospatial Intelligence;2023;2.23;5;Spain
169;Jase;De la Zenne;Male;06.07.2003;Fintech Innovations;2018;4.72;5;France
170;Cully;Beasley;Male;24.04.2003;Deep Learning in Medicine;2024;2.09;4;Sweden
171;Lynsey;Caldeiro;Female;29.02.2004;Synthetic Biology Design;2022;4.98;5;Lithuania
172;Kendell;Itzhak;Male;02.03.2006;Crypto Economics;2018;2.21;10;France
173;Leone;Ziemens;Female;05.04.2002;Creative Intelligence;2024;2.12;10;Bosnia and Herzegovina
174;Catrina;McWilliams;Female;15.02.2006;Digital Ethics and AI Law;2021;2.78;3;Czech Republic
175;Feodor;Vardy;Male;10.10.2006;Creative Intelligence;2018;2.89;4;Poland
176;Staci;Tidy;Agender;27.05.1996;Applied Data Systems;2024;2.21;3;Greece
177;Piggy;Kennedy;Male;12.10.1998;Sustainable Food Systems;2024;3.3;9;Sweden
178;Filmer;Menary;Male;15.07.2002;Quantum Architecture;2022;3.52;6;South Africa
179;Vanya;Grund;Male;27.12.1999;Precision Agriculture Technology;2018;3.4;1;Sweden
180;Lorraine;Ilyuchyov;Non-binary;05.02.1999;Automated Supply Chain Systems;2023;2.82;1;Sweden
181;Delano;Parkinson;Male;19.08.1999;Emotional AI Research;2021;3.66;9;Portugal
182;Addie;Frere;Male;17.12.2006;AI-Powered Design;2018;4.46;3;Portugal
183;Morgun;Appleyard;Male;29.07.1998;Cultural Data Science;2023;4.74;2;Sweden
184;Yardley;Willoughey;Male;29.10.2004;Digital Sociology;2020;3.08;10;Portugal
185;Thaddeus;Quinney;Male;24.05.1995;Crypto Economics;2020;3.28;10;Czech Republic
186;Marlyn;Bugden;Non-binary;21.03.2002;Interstellar Communications;2016;4.07;9;Sweden
187;Bill;Hillaby;Female;14.01.1997;Environmental Neurobiology;2018;4.55;7;Canada
188;Joyann;Hourihan;Female;04.11.2000;Neuroaesthetics;2018;2.04;7;Poland
189;Hurleigh;Haitlie;Male;10.08.2002;Cognitive Game Design;2016;3.91;5;Sweden
190;Patricio;Matches;Male;07.02.2000;Geospatial Intelligence;2016;3.3;10;Czech Republic
191;Adore;Tarney;Female;16.10.2004;Post-Human Studies;2019;4.69;2;Poland
192;Bambie;Faier;Female;04.01.2006;Emotional AI Research;2022;3.24;3;Sweden
193;Datha;O' Dornan;Female;23.11.2001;Esports Event Management;2017;2.92;4;France
194;Marnia;Dorre;Female;10.09.2002;Space Tourism Management;2021;4.47;6;Ireland
195;York;Mizzi;Male;21.09.2000;Crypto Economics;2017;3.41;10;Canada
196;Washington;Acutt;Male;12.11.2004;Automated Supply Chain Systems;2023;2.88;10;Portugal
197;Desmond;Jodkowski;Bigender;29.04.2004;Algorithmic Journalism;2017;2.86;5;Poland
198;Marylinda;Umney;Non-binary;24.08.1999;Social Media Analytics;2019;2.87;4;Canada
199;Natalina;Keneforde;Female;11.05.1997;Smart Grid Engineering;2020;2.46;4;Finland
200;Bobby;Carpmile;Female;10.09.2001;Digital Sociology;2021;2.15;1;Slovenia
201;Kelvin;Snaden;Male;20.05.2006;Cognitive Game Design;2016;2.9;2;Portugal
202;Evaleen;Lamping;Genderfluid;03.03.1998;Creative Intelligence;2018;3.11;7;Poland
203;Gus;Scahill;Male;14.03.1999;Synthetic Biology Design;2022;4.19;6;Portugal
204;Gustav;Parrin;Male;25.10.1997;Quantum Architecture;2021;3.17;9;Canada
205;Amy;Ham;Female;27.08.2005;Bioelectric Engineering;2021;2.24;2;Portugal
206;Gabrila;Breacher;Female;25.05.2001;Environmental Neurobiology;2017;2.64;3;Ireland
207;Mitchel;Greggs;Genderqueer;24.01.2005;Robotics and Human Interaction;2016;3.63;4;Sweden
208;Claudio;Nower;Male;11.10.2006;Deep Learning in Medicine;2020;2.12;10;Portugal
209;Pattin;Poor;Male;24.12.2006;Digital Sociology;2024;2.71;6;Portugal
210;Stephi;Fateley;Female;07.01.1996;Post-Human Studies;2022;3.28;3;France
211;Bartholomeus;Patman;Bigender;04.12.1998;Space Tourism Management;2018;3.43;2;Portugal
212;Ciro;Matthai;Male;08.03.1997;Behavioral Robotics;2017;2.62;3;Portugal
213;Herb;Pavlata;Male;20.04.2002;Environmental Neurobiology;2023;4.66;10;Norway
214;Georg;Preddle;Genderqueer;07.05.2006;Data-Driven Marketing;2020;2.62;10;Portugal
215;Darnall;Crowe;Male;25.09.1996;Deep Learning in Medicine;2017;3.54;5;France
216;Sabine;Aslum;Bigender;11.05.2004;Geospatial Intelligence;2018;3.2;3;Latvia
217;Mayor;Tregunnah;Polygender;12.10.2002;Space Habitat Engineering;2024;3.25;6;Ukraine
218;Reinaldos;Roscamps;Male;17.12.1998;Digital Sociology;2022;3.68;1;Poland
219;Brana;Desvignes;Female;06.02.2000;Urban Sustainability;2019;3.09;4;Poland
220;Nari;Antill;Female;25.11.1996;Esports Event Management;2023;4.65;5;Czech Republic
221;Olivero;Cowley;Male;18.07.1999;Bioelectric Engineering;2021;4.06;2;Ireland
222;Renell;Conradie;Female;22.01.1999;Urban Sustainability;2019;2.3;9;Hungary
223;Tedra;Zuker;Female;09.12.1999;Biomedical Nanotechnology;2024;2.23;6;Belgium
224;Ursuline;Kropp;Female;15.08.2002;Space Tourism Management;2017;4.63;3;Germany
225;Kerby;Wederell;Male;06.12.1998;Space Habitat Engineering;2023;3.95;10;South Africa
226;Mureil;Hansberry;Female;24.11.1999;Digital Ethics and AI Law;2017;2.83;7;Portugal
227;Gwennie;Pesticcio;Female;25.01.1999;Fintech Innovations;2020;2.96;1;Portugal
228;Kelley;Bowden;Male;17.11.1999;AI-Powered Design;2022;2;6;France
229;Allister;Sleightholme;Male;24.05.2002;AI-Powered Design;2020;3.25;2;Portugal
230;Richart;Paulich;Male;03.09.2005;Sustainable Food Systems;2017;2.73;3;Netherlands
231;Lovell;Macy;Agender;17.07.1997;Biomedical Nanotechnology;2016;4.77;6;Portugal
232;Cullan;Di Angelo;Male;21.06.2003;Virtual Reality Therapy;2018;4.41;1;France
233;Michele;Thackray;Female;21.04.2001;Digital Twin Systems;2023;4.06;4;Sweden
234;Maximilianus;Karslake;Male;16.03.1998;Space Tourism Management;2016;4.62;8;Croatia
235;Alyce;Predohl;Female;16.05.2001;Digital Sociology;2017;4.28;6;Croatia
236;Drew;Ketchaside;Male;15.01.2001;Space Tourism Management;2018;4.13;4;Poland
237;Olin;Swadon;Male;09.09.1995;Virtual Reality Therapy;2018;2.26;6;South Africa
238;Annabela;Easterfield;Female;14.12.2005;Data-Driven Marketing;2021;2.07;2;France
239;Teressa;Merrywether;Female;13.03.1996;Precision Agriculture Technology;2018;2.24;7;Greece
240;Glen;Caldayrou;Male;20.11.1995;Sustainable Urban Planning;2019;4.29;3;Greece
241;Candy;Spiers;Female;20.07.2005;Synthetic Biology Design;2017;5;10;Bosnia and Herzegovina
242;Cross;Possell;Male;19.07.2001;Applied Data Systems;2023;4.26;9;Norway
243;Amata;Goodsall;Female;14.07.1997;Sustainable Urban Planning;2020;2.94;8;Italy
244;Alasteir;Hayter;Male;30.01.2001;Cybernetic Education Models;2021;3.8;7;Poland
245;Killian;Geffinger;Male;10.10.2003;Data-Driven Marketing;2018;3.92;2;Norway
246;Alfi;Mosedill;Female;14.02.2002;Interstellar Communications;2020;4.28;8;France
247;Ellary;Greatbanks;Male;12.11.2006;AI-Assisted Law;2024;4.26;8;Finland
248;Corbet;Guyer;Male;21.06.2001;Emotional AI Research;2017;3.33;5;France
249;Lotte;Farrar;Female;29.09.1999;Geospatial Intelligence;2020;2.07;1;Czech Republic
250;Blake;Legging;Female;12.07.1997;Cybernetic Education Models;2020;3.68;6;Czech Republic
251;Hally;Foakes;Female;05.12.2001;Deep Learning in Medicine;2024;4.71;2;France
252;Angelica;Klageman;Female;15.03.1995;Cognitive Game Design;2023;2.85;6;Czech Republic
253;Leland;Whewill;Agender;22.05.2004;Sustainable Food Systems;2018;2.14;8;Portugal
254;Ophelia;Butters;Female;03.05.2005;Biomedical Nanotechnology;2018;2.33;6;Poland
255;Ranee;Shovell;Female;04.02.1996;Cultural Data Science;2017;3.28;9;Portugal
256;Natalie;Fouracre;Female;06.03.2006;Creative Intelligence;2022;4.72;8;France
257;Willette;Isgate;Female;28.03.2002;Interstellar Communications;2020;3.7;4;Poland
258;Sallee;Barbara;Female;23.08.2004;AI-Powered Design;2016;2.53;3;Portugal
259;Mirabella;Silvester;Female;21.04.2001;Bioelectric Engineering;2018;4.72;1;Sweden
260;Jaquenette;Durston;Female;04.04.2005;Sustainable Urban Planning;2023;4.29;3;Germany
261;Vanny;Matus;Female;27.06.1996;Bioelectric Engineering;2023;2.27;3;Canada
262;Denys;Bouchard;Male;06.07.1997;Human-Centered Cybersecurity;2018;2.12;7;Portugal
263;Tami;Crich;Female;21.04.1999;Smart Grid Engineering;2019;4.88;8;Sweden
264;Brear;Ostrich;Female;10.04.2006;Augmented Reality Education;2016;4.81;1;Portugal
265;Irma;Gilliat;Female;13.05.2001;Geospatial Intelligence;2016;4.72;6;Slovenia
266;Enid;Cornehl;Female;24.06.2000;Computational Literature;2019;4.14;2;Norway
267;Carla;Siccombe;Female;27.08.2003;AI-Assisted Law;2020;4.41;9;Portugal
268;Cheri;Feake;Female;18.06.1997;Sustainable Urban Planning;2022;3.15;1;Sweden
269;Vlad;Malicki;Male;03.08.2006;Fintech Innovations;2016;4.43;6;Poland
270;Blithe;Whannel;Female;01.04.2005;Creative Intelligence;2018;4.16;10;France
271;Yance;Kerfoot;Male;08.01.2006;Deep Learning in Medicine;2021;3.69;7;Sweden
272;Kit;Rentilll;Female;24.11.2006;Environmental Neurobiology;2016;3.33;4;South Africa
273;Aloisia;Spinney;Female;02.07.2001;Interstellar Communications;2021;3.12;10;Poland
274;Elka;Dockrey;Female;14.01.1999;Data-Driven Marketing;2019;4.77;3;France
275;Foss;Benallack;Polygender;19.12.2002;Sustainable Urban Planning;2023;2.55;8;Czech Republic
276;Olly;Betteriss;Female;26.10.2006;Synthetic Biology Design;2024;2.54;6;Poland
277;Llywellyn;Winders;Male;22.09.2003;Bioelectric Engineering;2017;4.64;6;France
278;Garland;Frowde;Female;13.03.1995;Environmental Neurobiology;2021;2.51;9;Ukraine
279;Harli;Hearn;Female;10.08.2005;Human-Centered Cybersecurity;2016;4.44;10;Portugal
280;Yetta;Parmeter;Female;04.06.1998;Data-Driven Marketing;2017;4.85;1;Canada
281;Aimil;Rengger;Female;06.10.1998;Neuroaesthetics;2020;4.44;9;Sweden
282;Rodger;Babbidge;Male;04.10.1997;Holographic Media Design;2016;3.27;5;Ukraine
283;Daphna;Denman;Female;10.05.2002;Digital Sociology;2018;4.14;4;Czech Republic
284;Guillaume;Mathiassen;Polygender;03.07.2003;Synthetic Biology Design;2022;4.37;6;Greece
285;Dick;Samweyes;Male;06.09.1995;Data-Driven Marketing;2022;3.19;7;Ukraine
286;Vasilis;Rockhall;Male;30.07.1996;Sustainable Urban Planning;2017;3.85;8;Poland
287;Etty;Craighall;Female;25.08.2000;Cognitive Game Design;2024;3.65;5;France
288;Hatti;Burrus;Female;12.03.2000;Fintech Innovations;2016;4.97;8;Czech Republic
289;Chilton;Le Prevost;Male;18.09.1997;Digital Ethics and AI Law;2023;3.65;1;Croatia
290;Cross;Seavers;Male;17.09.2003;Virtual Reality Therapy;2019;2.2;2;Portugal
291;Joby;Skitral;Female;11.02.2004;Precision Agriculture Technology;2020;4;10;Canada
292;Geordie;Agus;Male;08.06.1996;Geospatial Intelligence;2020;4.79;6;Czech Republic
293;Robinet;De Ruel;Female;05.07.2005;Deep Learning in Medicine;2022;4.79;9;Germany
294;Phil;Kibble;Female;11.03.2005;Crypto Economics;2017;3.48;8;Ukraine
295;Gratia;Castanone;Female;06.07.2003;Crypto Economics;2017;4.83;3;Sweden
296;Amity;Goodbarne;Female;26.09.1997;Sustainable Urban Planning;2021;4.58;6;Czech Republic
297;Liliane;Escolme;Female;29.05.2003;Interstellar Communications;2022;3.53;8;Ukraine
298;Drusie;Walcar;Female;05.07.2000;Social Media Analytics;2021;2.71;8;Sweden
299;Staci;Scanlon;Female;06.09.2005;Digital Ethics and AI Law;2023;3.74;2;Ireland
300;Karia;Ellerey;Female;20.09.1996;Holographic Media Design;2022;3.96;10;Poland
